id,Nombre,Edad,Departamento,Correo
1,Juan Pérez,28,Recursos Humanos,juan.perez@empresa.com
2,María López,34,Marketing,maria.lopez@empresa.com
3,Carlos Sánchez,45,Finanzas,carlos.sanchez@empresa.com
4,Ana García,29,IT,ana.garcia@empresa.com
5,Luis Fernández,31,Ventas,luis.fernandez@empresa.com
6,Sofía Morales,26,Desarrollo,sophia.morales@empresa.com
7,Ricardo Gómez,40,Logística,ricardo.gomez@empresa.com
8,Laura Martínez,38,Atención al Cliente,laura.martinez@empresa.com
9,Javier Torres,36,Compras,javier.torres@empresa.com
10,Patricia Ríos,42,Recursos Humanos,patricia.rios@empresa.com
11,Andrés Vázquez,33,Legal,andres.vazquez@empresa.com
12,Marta Ruiz,27,Marketing,marta.ruiz@empresa.com
